kategori;nama_wisata;alamat;provinsi;kota_kabupaten;nama_lengkap;deskripsi_bersih
pantai;Pantai Sine;Pantai Sine, Desa Kalibatur, Kecamatan Kalidawir, Kabupaten Tulungagung, Jawa Timur, Indonesia;Jawa Timur;Kabupaten Tulungagung;Pantai Sine Tulungagung, Jawa Timur;Pantai Sine adalah pantai berpasir hitam dengan ombak cukup besar yang dikelilingi perbukitan hijau dan area nelayan, juga dikenal dengan tradisi larung sesaji tertentu.
pantai;Pantai Peh Pulo;Pantai Peh Pulo, Desa Sumbersih, Kecamatan Panggungrejo, Kabupaten Blitar, Jawa Timur, Indonesia;Jawa Timur;Kabupaten Blitar;Pantai Peh Pulo Blitar, Jawa Timur;Pantai Peh Pulo adalah pantai tersembunyi di Blitar selatan dengan gugusan pulau karang kecil, air berwarna biru toska, dan suasana relatif sepi wisatawan.
air terjun;Air Terjun Madakaripura;Air Terjun Madakaripura, Desa Sapih, Kecamatan Lumbang, Kabupaten Probolinggo, Jawa Timur, Indonesia;Jawa Timur;Kabupaten Probolinggo;Air Terjun Madakaripura, Probolinggo, Jawa Timur;Air Terjun Madakaripura adalah air terjun setinggi sekitar 200 meter di kawasan Taman Nasional Bromo Tengger Semeru yang dikelilingi tebing silinder dan sering dikaitkan sebagai tempat bertapa Mahapatih Gajah Mada.
air terjun;Air Terjun Blawan;Air Terjun Blawan, Desa Kalianyar, Kecamatan Ijen, Kabupaten Bondowoso, Jawa Timur, Indonesia;Jawa Timur;Kabupaten Bondowoso;Air Terjun Blawan, Bondowoso, Jawa Timur;Air Terjun Blawan adalah air terjun bertingkat yang dialiri air belerang dari kawasan Ijen, jatuh ke dalam cerukan sempit dengan tebing batu kapur yang tinggi.
wisata alam;Teluk Love;Teluk Love, Desa Sumberrejo, Kecamatan Ambulu, Kabupaten Jember, Jawa Timur, Indonesia;Jawa Timur;Kabupaten Jember;Teluk Love, Jember, Jawa Timur;Teluk Love adalah teluk dengan garis pantai yang dari atas bukit tampak membentuk huruf hati, menghadap Samudra Hindia dan sering dijadikan spot sunrise maupun sunset.
taman;Taman Apsari;Taman Apsari, Jl. Gubernur Suryo, Embong Kaliasin, Kecamatan Genteng, Kota Surabaya, Jawa Timur, Indonesia;Jawa Timur;Surabaya;Taman Apsari, Kota Surabaya, Jawa Timur;Taman Apsari adalah taman kota di depan Gedung Negara Grahadi dengan monumen Gubernur Suryo dan area hijau di tengah kawasan perkantoran dan niaga pusat kota.
wisata edukasi;Kampung Coklat;Kampung Coklat, Jl. Banteng Blorok No.18, Desa Plosorejo, Kecamatan Kademangan, Kabupaten Blitar, Jawa Timur, Indonesia;Jawa Timur;Kabupaten Blitar;Wisata Edukasi Kampung Coklat Blitar, Jawa Timur;Kampung Coklat adalah wisata edukasi keluarga berbasis perkebunan kakao di Blitar yang menggabungkan kebun kakao, tur proses pengolahan cokelat, area kuliner, aneka produk olahan cokelat, serta berbagai wahana permainan dan spot foto untuk anak maupun dewasa.
pantai;Pantai Watu Ulo;Desa Sumberejo;Jawa Timur;Jember;Pantai Watu Ulo Jember;Pantai Watu Ulo merupakan pantai di Jember yang terkenal dengan formasi batu karang panjang menyerupai ular. Pantai ini menawarkan pemandangan laut selatan yang indah serta sering dikunjungi wisatawan untuk menikmati panorama alam.
air terjun;Air Terjun Grenjengan Sewu;Desa Ngliman, Kecamatan Sawahan, Kabupaten Nganjuk, Jawa Timur, Indonesia;Jawa Timur;Nganjuk;Air Terjun Grenjengan Sewu Nganjuk;Air Terjun Grenjengan Sewu merupakan air terjun yang berada di kawasan pegunungan Wilis. Tempat ini menawarkan suasana alam yang sejuk dengan pemandangan air terjun yang mengalir di antara pepohonan hijau.
air terjun;Air Terjun Watu Ondo;Desa Pacet, Kecamatan Pacet, Kabupaten Mojokerto, Jawa Timur, Indonesia;Jawa Timur;Mojokerto;Air Terjun Watu Ondo Mojokerto;Air Terjun Watu Ondo adalah destinasi wisata alam di kawasan Pacet yang menawarkan pemandangan air terjun dengan aliran air yang jernih dan udara pegunungan yang sejuk.
pantai;Pantai Mustika;Desa Sumberagung, Kecamatan Pesanggaran, Kabupaten Banyuwangi, Jawa Timur, Indonesia;Jawa Timur;Banyuwangi;Pantai Mustika Banyuwangi;Pantai Mustika merupakan pantai di Banyuwangi yang terkenal dengan pasir putih dan ombak khas laut selatan. Tempat ini sering dikunjungi wisatawan untuk menikmati pemandangan pantai yang alami.
pantai;Pantai Prigi;Desa Tasikmadu, Kecamatan Watulimo, Kabupaten Trenggalek, Jawa Timur, Indonesia;Jawa Timur;Trenggalek;Pantai Prigi Trenggalek;Pantai Prigi merupakan salah satu pantai terkenal di Trenggalek yang memiliki teluk luas dengan panorama laut yang indah. Tempat ini juga menjadi pusat aktivitas nelayan setempat.
pantai;Pantai Karang Bolong Pacitan;Desa Sendang, Kecamatan Donorojo, Kabupaten Pacitan, Jawa Timur, Indonesia;Jawa Timur;Pacitan;Pantai Karang Bolong Pacitan;Pantai Karang Bolong memiliki formasi batu karang berlubang yang menjadi daya tarik utama. Pemandangan laut dan tebing karang menjadikan tempat ini menarik untuk dikunjungi wisatawan.
danau;Ranu Bedali;Desa Ranupani, Kecamatan Pronojiwo, Kabupaten Lumajang, Jawa Timur, Indonesia;Jawa Timur;Lumajang;Ranu Bedali Lumajang;Ranu Bedali merupakan danau alami yang berada di kawasan kaki Gunung Semeru. Danau ini menawarkan pemandangan air yang tenang dengan latar belakang perbukitan hijau.
waduk;Waduk Gondang;Desa Gondang, Kecamatan Gondang, Kabupaten Lamongan, Jawa Timur, Indonesia;Jawa Timur;Lamongan;Waduk Gondang Lamongan;Waduk Gondang merupakan bendungan yang berfungsi sebagai irigasi sekaligus objek wisata. Pengunjung dapat menikmati pemandangan perairan luas dengan latar belakang perbukitan.
wisata alam;Bukit Jamur;Desa Bungah, Kecamatan Bungah, Kabupaten Gresik, Jawa Timur, Indonesia;Jawa Timur;Gresik;Bukit Jamur Gresik;Bukit Jamur merupakan kawasan bekas tambang kapur yang memiliki formasi batu unik menyerupai jamur. Tempat ini sering dijadikan lokasi fotografi oleh wisatawan.
wisata alam;Bukit Mondoleko;Desa Sidomulyo, Kecamatan Selorejo, Kabupaten Blitar, Jawa Timur, Indonesia;Jawa Timur;Blitar;Bukit Mondoleko Blitar;Bukit Mondoleko menawarkan panorama alam dari ketinggian dengan pemandangan perbukitan hijau dan suasana yang tenang. Tempat ini cocok untuk menikmati pemandangan matahari terbit maupun terbenam.
religi;Makam Sunan Drajat;Desa Drajat, Kecamatan Paciran, Kabupaten Lamongan, Jawa Timur, Indonesia;Jawa Timur;Lamongan;Makam Sunan Drajat Lamongan;Makam Sunan Drajat merupakan salah satu situs ziarah Wali Songo yang sering dikunjungi oleh peziarah dari berbagai daerah di Indonesia.
candi;Candi Kidal;Desa Rejokidal, Kecamatan Tumpang, Kabupaten Malang, Jawa Timur, Indonesia;Jawa Timur;Malang;Candi Kidal Malang;Candi Kidal merupakan peninggalan Kerajaan Singhasari yang dibangun untuk menghormati Raja Anusapati. Candi ini memiliki relief yang menggambarkan kisah Garudeya.
candi;Candi Jawi;Desa Candiwates, Kecamatan Prigen, Kabupaten Pasuruan, Jawa Timur, Indonesia;Jawa Timur;Pasuruan;Candi Jawi Pasuruan;Candi Jawi adalah candi peninggalan Kerajaan Singhasari yang memiliki arsitektur unik dengan perpaduan gaya Hindu dan Buddha.
taman wisata;Taman Wisata Selecta;Desa Tulungrejo, Kecamatan Bumiaji, Kota Batu, Jawa Timur, Indonesia;Jawa Timur;Kota Batu;Taman Wisata Selecta Batu;Taman Wisata Selecta merupakan taman rekreasi yang menawarkan taman bunga, kolam renang, dan pemandangan pegunungan yang indah di Kota Batu.
wisata kota;Alun-Alun Kota Batu;Kelurahan Sisir, Kecamatan Batu, Kota Batu, Jawa Timur, Indonesia;Jawa Timur;Kota Batu;Alun Alun Kota Batu;Alun-Alun Kota Batu merupakan ruang publik yang populer dengan bianglala besar dan berbagai fasilitas rekreasi keluarga. Tempat ini sering menjadi tujuan wisata malam di Kota Batu.
air terjun;Air Terjun Coban Baung;Desa Cowek, Kecamatan Purwodadi, Kabupaten Pasuruan, Jawa Timur, Indonesia;Jawa Timur;Pasuruan;Air Terjun Coban Baung Pasuruan;Air Terjun Coban Baung merupakan air terjun yang berada di kawasan hutan lindung Pasuruan dengan suasana alam yang sejuk dan pemandangan yang masih alami.
air terjun;Air Terjun Coban Jahe;Desa Pandansari Lor, Kecamatan Jabung, Kabupaten Malang, Jawa Timur, Indonesia;Jawa Timur;Malang;Air Terjun Coban Jahe Malang;Air Terjun Coban Jahe menawarkan panorama alam yang indah dengan aliran air yang jernih serta area hutan pinus yang asri di sekitarnya.
air terjun;Air Terjun Coban Pelangi;Desa Gubugklakah, Kecamatan Poncokusumo, Kabupaten Malang, Jawa Timur, Indonesia;Jawa Timur;Malang;Air Terjun Coban Pelangi Malang;Air Terjun Coban Pelangi terkenal dengan fenomena pelangi yang sering muncul di sekitar air terjun ketika terkena sinar matahari.
pantai;Pantai Tamban;Desa Tambakrejo, Kecamatan Sumbermanjing Wetan, Kabupaten Malang, Jawa Timur, Indonesia;Jawa Timur;Malang;Pantai Tamban Malang;Pantai Tamban merupakan pantai di Malang Selatan yang memiliki pasir putih serta perairan yang cukup tenang sehingga cocok untuk wisata keluarga.
pantai;Pantai Bantol;Desa Banjarejo, Kecamatan Donomulyo, Kabupaten Malang, Jawa Timur, Indonesia;Jawa Timur;Malang;Pantai Bantol Malang;Pantai Bantol menawarkan panorama pantai yang masih alami dengan pemandangan laut luas dan suasana yang tenang.
pantai;Pantai Watu Leter;Desa Sitiarjo, Kecamatan Sumbermanjing Wetan, Kabupaten Malang, Jawa Timur, Indonesia;Jawa Timur;Malang;Pantai Watu Leter Malang;Pantai Watu Leter dikenal sebagai kawasan konservasi penyu dan memiliki pemandangan pantai yang indah dengan deretan pohon cemara laut.
pantai;Pantai Damas;Desa Karanggandu, Kecamatan Watulimo, Kabupaten Trenggalek, Jawa Timur, Indonesia;Jawa Timur;Trenggalek;Pantai Damas Trenggalek;Pantai Damas merupakan pantai yang memiliki panorama laut yang luas dan sering dimanfaatkan untuk kegiatan wisata alam dan berkemah.
danau;Telaga Ngebel;Desa Ngebel, Kecamatan Ngebel, Kabupaten Ponorogo, Jawa Timur, Indonesia;Jawa Timur;Ponorogo;Telaga Ngebel Ponorogo;Telaga Ngebel adalah danau alami di lereng Gunung Wilis yang terkenal dengan pemandangan alam serta udara yang sejuk.
waduk;Waduk Karangkates;Desa Karangkates, Kecamatan Sumberpucung, Kabupaten Malang, Jawa Timur, Indonesia;Jawa Timur;Malang;Waduk Karangkates Malang;Waduk Karangkates merupakan bendungan besar yang memiliki panorama perairan luas dan sering dijadikan tempat rekreasi serta memancing.
waduk;Waduk Lahor;Desa Karangkates, Kecamatan Sumberpucung, Kabupaten Malang, Jawa Timur, Indonesia;Jawa Timur;Malang;Waduk Lahor Malang;Waduk Lahor berada tidak jauh dari Waduk Karangkates dan menawarkan pemandangan alam yang indah serta udara yang sejuk.
wisata alam;Bukit Kapur Arosbaya;Desa Arosbaya, Kecamatan Arosbaya, Kabupaten Bangkalan, Jawa Timur, Indonesia;Jawa Timur;Bangkalan;Bukit Kapur Arosbaya Bangkalan;Bukit Kapur Arosbaya merupakan kawasan bekas tambang kapur dengan formasi batu yang unik dan berwarna kemerahan.
wisata alam;Bukit Cinta Bayeman;Desa Bayeman, Kecamatan Arjasa, Kabupaten Situbondo, Jawa Timur, Indonesia;Jawa Timur;Situbondo;Bukit Cinta Bayeman Situbondo;Bukit Cinta Bayeman menawarkan panorama alam dari ketinggian dengan pemandangan laut dan perbukitan yang indah.
pulau;Pulau Gili Labak;Desa Kombang, Kecamatan Talango, Kabupaten Sumenep, Jawa Timur, Indonesia;Jawa Timur;Sumenep;Pulau Gili Labak Sumenep;Pulau Gili Labak merupakan pulau kecil dengan pasir putih dan air laut yang jernih sehingga populer untuk snorkeling.
pulau;Pulau Gili Iyang;Desa Banraas, Kecamatan Dungkek, Kabupaten Sumenep, Jawa Timur, Indonesia;Jawa Timur;Sumenep;Pulau Gili Iyang Sumenep;Pulau Gili Iyang dikenal memiliki kadar oksigen tinggi dan suasana alam yang tenang.
religi;Makam Sunan Giri;Desa Giri, Kecamatan Kebomas, Kabupaten Gresik, Jawa Timur, Indonesia;Jawa Timur;Gresik;Makam Sunan Giri Gresik;Makam Sunan Giri merupakan salah satu tempat ziarah Wali Songo yang banyak dikunjungi peziarah dari berbagai daerah.
religi;Makam Sunan Bonang;Kelurahan Kutorejo, Kecamatan Tuban, Kabupaten Tuban, Jawa Timur, Indonesia;Jawa Timur;Tuban;Makam Sunan Bonang Tuban;Makam Sunan Bonang merupakan situs ziarah penting yang berkaitan dengan sejarah penyebaran Islam di Jawa.
museum;Museum Majapahit;Desa Sentonorejo, Kecamatan Trowulan, Kabupaten Mojokerto, Jawa Timur, Indonesia;Jawa Timur;Mojokerto;Museum Majapahit Mojokerto;Museum Majapahit menyimpan berbagai koleksi artefak peninggalan Kerajaan Majapahit yang ditemukan di kawasan Trowulan.
taman hiburan;Hawai Waterpark;Desa Karanglo, Kecamatan Singosari, Kabupaten Malang, Jawa Timur, Indonesia;Jawa Timur;Malang;Hawai Waterpark Malang;Hawai Waterpark merupakan taman rekreasi air yang menawarkan berbagai wahana permainan air yang cocok untuk keluarga.
taman hiburan;Predator Fun Park;Desa Tlekung, Kecamatan Junrejo, Kota Batu, Jawa Timur, Indonesia;Jawa Timur;Kota Batu;Predator Fun Park Batu;Predator Fun Park adalah taman wisata edukasi yang menampilkan berbagai jenis reptil dan wahana hiburan keluarga.
wisata kota;Taman Bungkul;Kelurahan Darmo, Kecamatan Wonokromo, Kota Surabaya, Jawa Timur, Indonesia;Jawa Timur;Surabaya;Taman Bungkul Surabaya;Taman Bungkul merupakan taman kota populer di Surabaya yang sering digunakan masyarakat untuk rekreasi dan bersantai.
wisata kota;House of Sampoerna;Kelurahan Krembangan Utara, Kecamatan Pabean Cantikan, Kota Surabaya, Jawa Timur, Indonesia;Jawa Timur;Surabaya;House of Sampoerna Surabaya;House of Sampoerna merupakan museum yang menampilkan sejarah industri rokok kretek di Indonesia serta bangunan bergaya kolonial.
wisata kota;Monumen Kapal Selam;Kelurahan Embong Kaliasin, Kecamatan Genteng, Kota Surabaya, Jawa Timur, Indonesia;Jawa Timur;Surabaya;Monumen Kapal Selam Surabaya;Monumen Kapal Selam adalah museum yang menampilkan kapal selam asli milik TNI AL sebagai sarana edukasi sejarah maritim.
wisata sejarah;Benteng Van den Bosch;Desa Pelem, Kecamatan Ngawi, Kabupaten Ngawi, Jawa Timur, Indonesia;Jawa Timur;Ngawi;Benteng Van den Bosch Ngawi;Benteng Van den Bosch merupakan peninggalan kolonial Belanda yang dikenal dengan sebutan Benteng Pendem dan menjadi objek wisata sejarah.
wisata sejarah;Istana Gebang;Kelurahan Bendogerit, Kecamatan Sananwetan, Kota Blitar, Jawa Timur, Indonesia;Jawa Timur;Kota Blitar;Istana Gebang Blitar;Istana Gebang merupakan rumah masa kecil Presiden Soekarno yang kini dijadikan museum sejarah.
wisata kota;Alun-Alun Kota Malang;Kelurahan Kiduldalem, Kecamatan Klojen, Kota Malang, Jawa Timur, Indonesia;Jawa Timur;Kota Malang;Alun Alun Kota Malang;Alun-Alun Kota Malang merupakan ruang publik yang populer untuk rekreasi masyarakat dengan taman hijau yang luas.
wisata kota;Kampung Biru Arema;Kelurahan Kiduldalem, Kecamatan Klojen, Kota Malang, Jawa Timur, Indonesia;Jawa Timur;Kota Malang;Kampung Biru Arema Malang;Kampung Biru Arema merupakan kawasan wisata tematik dengan bangunan yang dicat biru sebagai identitas klub sepak bola Arema.
wisata kota;Jembatan Suramadu;Kelurahan Kenjeran, Kecamatan Bulak, Kota Surabaya, Jawa Timur, Indonesia;Jawa Timur;Surabaya;Jembatan Suramadu Surabaya;Jembatan Suramadu merupakan jembatan terpanjang di Indonesia yang menghubungkan Pulau Jawa dengan Pulau Madura dan sering menjadi objek wisata.
agrowisata;Agrowisata Belimbing Karangsari;Kelurahan Karangsari, Kecamatan Sukorejo, Kota Blitar, Jawa Timur, Indonesia;Jawa Timur;Kota Blitar;Agrowisata Belimbing Karangsari Blitar;Agrowisata Belimbing Karangsari menawarkan pengalaman wisata petik buah belimbing langsung dari kebunnya.
agrowisata;Kebun Raya Purwodadi;Desa Purwodadi, Kecamatan Purwodadi, Kabupaten Pasuruan, Jawa Timur, Indonesia;Jawa Timur;Pasuruan;Kebun Raya Purwodadi Pasuruan;Kebun Raya Purwodadi merupakan kebun botani yang memiliki koleksi berbagai tanaman tropis dan sering digunakan sebagai tempat wisata edukasi.
taman wisata;Taman Safari Prigen;Desa Jatiarjo, Kecamatan Prigen, Kabupaten Pasuruan, Jawa Timur, Indonesia;Jawa Timur;Pasuruan;Taman Safari Prigen Pasuruan;Taman Safari Prigen merupakan taman konservasi satwa dengan konsep safari dimana pengunjung dapat melihat hewan secara langsung dari kendaraan.
